Индекс;Символ;Верхняя левая четверть;Верхняя правая четверть;Нижняя левая четверть;Нижняя правая четверть;Удельный вес верхней левой четверти;Удельный вес верхней правой четверти;Удельный вес нижней левой четверти;Удельный вес нижней правой четверти;Центр тяжести x;Центр тяжести y;Нормированный центр тяжести x;Нормированный центр тяжести y;Момент инерции x;Момент инерции y;Нормированный момент инерции x;Нормированный момент инерции y
14;м;72;65;74;74;0.43636363636363634;0.3693181818181818;0.4111111111111111;0.3854166666666667;15.235087719298246;11.035087719298245;0.4914544425580079;0.47978642257818455;13407.649122807017;20725.249122807014;18.804556974483894;29.06767057897197
15;н;59;59;63;63;0.4125874125874126;0.4125874125874126;0.40384615384615385;0.40384615384615385;12.434426229508198;10.959016393442623;0.47824716267339223;0.4764789736279401;12697.590163934423;12147.950819672133;21.233428367783315;20.31429902955206
16;о;46;54;60;50;0.38016528925619836;0.4462809917355372;0.45454545454545453;0.3787878787878788;10.452380952380953;10.99047619047619;0.4751082251082251;0.47784679089026916;8881.980952380953;10716.02380952381;17.553322040278562;21.177912667043103
17;п;60;59;58;58;0.4195804195804196;0.4125874125874126;0.3717948717948718;0.3717948717948718;12.425531914893616;10.519148936170213;0.4779050736497545;0.45735430157261797;13796.663829787234;12027.446808510638;23.071344196968617;20.112787305201735
18;р;79;94;85;26;0.3872549019607843;0.46078431372549017;0.4166666666666667;0.12745098039215685;11.221830985915492;13.721830985915492;0.4675762910798122;0.4035832642916321;27137.024647887323;13197.024647887325;33.25615765672466;16.17282432339133
19;с;37;34;61;35;0.37373737373737376;0.3090909090909091;0.5648148148148148;0.2916666666666667;7.652694610778443;11.838323353293413;0.4027734005672865;0.5147097110127571;8704.634730538923;5233.85628742515;19.919072609928886;11.976787843078148
20;т;44;46;29;32;0.36363636363636365;0.38016528925619836;0.2196969696969697;0.24242424242424243;10.728476821192054;8.940397350993377;0.48765803732691154;0.3887129283040599;9280.46357615894;2979.8675496688743;18.34083710703348;5.889066303693427
21;у;82;52;54;20;0.37104072398190047;0.23529411764705882;0.24434389140271492;0.09049773755656108;10.927884615384615;13.802884615384615;0.4203032544378698;0.40596719457013575;23060.918269230773;6669.9182692307695;26.08701161677689;7.545156413156979
22;ф;80;113;93;134;0.2484472049689441;0.32753623188405795;0.2767857142857143;0.37222222222222223;14.102380952380953;23.783333333333335;0.4862889983579639;0.5060283687943262;53279.283333333326;24308.59761904762;39.08971631205673;17.834627746916816
23;х;61;33;38;63;0.4621212121212121;0.25;0.2638888888888889;0.4375;11.082051282051282;10.907692307692308;0.4617521367521367;0.474247491638796;11284.338461538462;5760.68717948718;20.44264214046823;10.43602749907098
24;ц;66;66;52;69;0.3626373626373626;0.3626373626373626;0.26666666666666666;0.35384615384615387;13.217391304347826;12.383399209486166;0.5083612040133779;0.4270137658443506;16561.810276679844;14137.043478260868;21.965265618938783;18.74939453350248
25;ч;53;56;20;66;0.4015151515151515;0.42424242424242425;0.1388888888888889;0.4583333333333333;12.938461538461539;9.333333333333334;0.5391025641025641;0.4057971014492754;9321.333333333334;7741.261538461538;16.886473429951693;14.024024526198438
26;ш;81;80;96;96;0.3875598086124402;0.3827751196172249;0.42105263157894735;0.42105263157894735;18.48441926345609;11.55240793201133;0.4864320858804234;0.5022786057396231;20647.28045325779;40654.164305949;23.623890678784658;46.51506213495309
27;щ;99;98;78;92;0.37218045112781956;0.3684210526315789;0.2736842105263158;0.32280701754385965;19.149863760217983;12.049046321525886;0.5039437831636311;0.4154843559146857;22965.117166212534;44772.75749318801;20.839489261535874;40.62863656369148
28;ъ;66;13;54;75;0.5;0.09090909090909091;0.375;0.4807692307692308;12.629807692307692;12.033653846153847;0.5051923076923077;0.5232023411371237;10596.764423076922;7838.495192307693;18.429155518394648;13.632165551839467
29;ы;63;55;84;102;0.35795454545454547;0.29411764705882354;0.4375;0.5;15.80921052631579;12.12828947368421;0.47906698564593303;0.5273169336384439;15441.99671052632;26812.934210526317;20.345186706885798;35.3266590389016
30;ь;55;8;60;68;0.5;0.06611570247933884;0.5;0.5151515151515151;9.471204188481675;12.842931937172775;0.4510097232610321;0.5583883450944684;8715.287958115183;5749.591623036648;18.044074447443442;11.903916403802585
31;ѣ;102;22;83;85;0.4358974358974359;0.09401709401709402;0.3547008547008547;0.36324786324786323;12.41095890410959;20.46232876712329;0.47734457323498425;0.5683980213089802;28862.58561643836;10542.684931506848;30.836095744058074;11.263552277250906
32;ю;85;72;93;80;0.4292929292929293;0.36363636363636365;0.4305555555555556;0.37037037037037035;17.496969696969696;11.021212121212121;0.48602693602693603;0.47918313570487486;15048.851515151513;38170.49696969697;18.1749414434197;46.099634021373156
33;ѵ;61;43;42;20;0.3961038961038961;0.2792207792207792;0.25;0.11904761904761904;12.813253012048193;8.397590361445783;0.4576161790017212;0.3651126244106862;6479.759036144578;7153.210843373494;10.061737633764873;11.10747025368555
34;ѯ;52;74;70;72;0.26;0.37;0.35;0.36;9.619402985074627;20.62313432835821;0.4809701492537314;0.5155783582089553;38692.93656716417;8071.179104477612;48.36617070895522;10.088973880597015
35;ѱ;95;113;48;55;0.37254901960784315;0.41544117647058826;0.18823529411764706;0.20220588235294118;14.794212218649518;12.67524115755627;0.47723265221450056;0.3728012105163609;21012.199356913185;16720.82958199357;19.93567301414913;15.864164688798454
36;ѡ;59;79;59;58;0.3575757575757576;0.44886363636363635;0.3277777777777778;0.3020833333333333;14.670588235294117;9.709803921568627;0.4732447817836812;0.4221653878942881;9262.525490196078;18836.329411764706;12.990919341088468;26.41841432225064
37;ѳ;62;58;64;65;0.512396694214876;0.4793388429752066;0.48484848484848486;0.49242424242424243;10.44578313253012;10.899598393574298;0.47480832420591457;0.4738955823293173;9136.489959839357;11007.518072289156;18.056304268457225;21.753988285156435
38;ѧ;23;37;74;80;0.1393939393939394;0.21022727272727273;0.4111111111111111;0.4166666666666667;15.406542056074766;13.995327102803738;0.49698522761531505;0.6084924827305973;8180.9953271028035;9061.630841121496;11.474046742079668;12.709159664967036
39;ѫ;58;37;95;95;0.31016042780748665;0.19786096256684493;0.46568627450980393;0.46568627450980393;16.210526315789473;12.463157894736842;0.4767801857585139;0.5418764302059497;14802.863157894735;16361.368421052632;18.929492529277155;20.922466011576255
